10000 4 0
442      1223	911	73	2678
443      1822	455	68	454
444      1014	507	1121	2273
445      2306	290	2558	128
446      1902	1929	72	1182
447      1861	926	718	2584
448      1698	1699	456	1091
449      2141	2689	871	872
450      1957	598	1799	1335
451      2367	2421	2188	2365
452      2096	2365	1117	2578
453      2226	2257	2256	2199
454      2623	2113	2580	2581
455      1869	57	2104	2453
456      2618	1495	2593	2394
457      2371	2525	420	2526
458      160	1094	1421	2690
459      1157	1635	1156	2281
460      2180	2017	821	2492
461      1967	107	699	2086
462      2401	475	2406	476
463      1224	2141	524	2689
464      1283	2258	2338	610
465      2667	2434	2502	2575
466      1752	1390	1833	2564
467      1094	296	1093	298
468      38		707	39	2399
469      19		1489	1199	1967
470      1085	2533	1107	2493
471      1414	613	614	1995
472      1464	71	2678	484
473      1393	1995	364	2393
474      110	112	1788	956
475      2342	1287	2341	1178
476      1972	2453	59	2730
477      94		1977	2702	1669
478      2356	2637	2142	2191
479      1219	184	295	645
480      1434	2605	2333	1111
481      915	1040	2057	1164
482      2131	2438	2379	2197
483      2210	2095	2212	2556
484      2584	1731	996	1074
485      1644	1764	2661	2164
486      246	247	611	494
487      1422	216	635	1336
488      1706	2221	2513	1642
489      919	345	344	346
490      1311	2425	1802	2426
491      2317	2433	2311	1796
492      1079	1758	395	396
493      2236	2031	2032	2454
494      2441	1428	2075	1729
495      2632	2653	2654	2076
496      1186	808	2187	2549
497      798	799	987	2065
498      2092	2180	2192	1160
499      162	163	164	1182
500      2591	2033	2118	2002
501      2302	1851	1813	1823
502      405	542	2144	1218
503      1976	2572	1894	2454
504      1752	1458	1457	2564
505      382	990	2575	2654
506      752	1016	2681	2527
507      2561	652	648	2070
508      2707	1999	2363	2267
509      2566	2454	2236	2350
510      814	457	551	2671
511      2108	2314	2068	2340
512      928	927	1710	2703
513      2038	2022	2323	152
514      461	2194	1271	2040
515      807	1184	2332	2287
516      2237	1	359	2091
517      599	1791	598	294
518      2373	2657	2191	1115
519      2074	2075	2076	962
520      965	1584	1585	2496
521      138	1805	139	2041
522      1897	2565	2535	2286
523      2357	1994	1993	2296
524      173	1011	171	2486
525      580	453	2680	425
526      63		64	961	2692
527      382	2575	2272	2654
528      1508	1487	1735	2106
529      1083	1164	566	1316
530      2522	2056	2521	2217
531      363	438	364	2051
532      2340	2106	2230	1486
533      1960	142	100	143
534      110	956	1503	1206
535      668	1709	1325	2629
536      2074	2316	2469	2102
537      1444	23	24	2477
538      2164	1566	1565	1644
539      2697	1587	2135	2311
540      2293	1007	705	1223
541      2073	1755	1196	2342
542      2680	836	580	2646
543      2483	2536	2172	2171
544      201	199	200	1889
545      2497	73	2498	2499
546      345	1756	1578	2146
547      2406	2124	2062	2401
548      2651	2639	1201	2156
549      282	2292	653	2309
550      2182	2082	2369	2184
551      36		414	415	1975
552      1568	751	2401	475
553      2388	1761	2170	2053
554      1241	1666	181	1240
555      382	2575	990	2502
556      1052	1075	2338	1088
557      1073	2362	1813	1828
558      1275	1769	1330	1276
559      2480	2062	2063	2243
560      1798	1485	574	1336
561      526	1702	1953	2353
562      455	454	589	68
563      140	138	139	2041
564      223	224	1302	2377
565      2026	2033	2027	2028
566      2530	475	1490	995
567      998	1768	2157	218
568      874	87	1885	86
569      2373	2093	2191	2192
570      2066	1858	1046	2202
571      2601	145	2625	146
572      755	2194	2149	2330
573      2521	642	651	2483
574      1927	1845	1551	1780
575      541	540	912	2346
576      2351	2548	585	2080
577      1428	671	1499	2595
578      1923	1589	2372	2091
579      1214	1898	660	2355
