100000	4	0
159	2056	2057	4602	18263	
160	9366	2238	8154	3915	
161	8236	14367	7345	23219	
162	23182	3659	3660	3661	
163	24004	24474	5558	2733	
164	21239	19160	26285	19158	
165	7286	24539	7285	25374	
166	7637	15283	7639	16646	
167	3707	3706	20106	7358	
168	23511	23835	5362	18942	
169	12745	7725	8434	26140	
170	24894	23903	24896	25585	
171	23989	18910	25669	874	
172	12344	1712	2949	19120	
173	11128	14164	24197	23881	
174	11168	11167	4596	23713	
175	5365	17309	7127	21877	
176	7017	15260	17011	21714	
177	19711	21173	14359	21174	
178	6807	4361	14873	20475	
179	15779	19938	9231	18013	
180	15874	19538	13686	20829	
181	17312	4202	11425	25613	
182	21028	10315	25111	16076	
183	25581	21341	21342	21344	
184	21668	21271	21667	15838	
185	19029	14086	9736	24473	
186	8767	18631	25146	18630	
187	25336	19991	25351	26050	
188	21316	18675	21632	25352	
189	25760	21523	23034	19166	
190	3411	23526	3894	23527	
191	14844	14185	20914	3534	
192	18287	13613	13612	9938	
193	25576	15631	18205	3157	
194	8639	9308	12729	25975	
195	22665	15435	10625	23350	
196	12728	12507	7935	19373	
197	7055	4512	3701	20940	
198	5428	20087	7873	21009	
199	22370	22368	7535	15141	
200	12559	5197	16998	19743	
201	14807	14808	3254	20228	
202	22454	20864	1062	23010	
203	14575	16083	16782	18706	
204	14267	17587	10886	18454	
205	1094	24649	12699	24264	
206	10817	19573	19571	20719	
207	545	10692	544	546	
208	11524	9966	4861	24459	
209	21442	25113	20094	18865	
210	1668	1247	25701	21748	
211	14971	20548	10238	23615	
212	17314	24324	14914	21769	
213	16435	14670	11876	10879	
214	22473	3153	1337	3151	
215	23663	22272	21953	17901	
216	14919	21268	15239	18325	
217	9483	9482	25202	22238	
218	14255	23259	11236	20703	
219	24064	21234	24289	20305	
220	7742	24335	8867	22101	
221	3079	14760	3081	20299	
222	24980	22442	14396	18567	
223	4378	24423	11342	23454	
224	15903	676	13701	19468	
225	15630	5076	3927	19584	
226	23475	18464	18465	25680	
227	15308	16381	16382	20972	
228	23975	18129	2590	24750	
229	9690	9691	13690	18895	
230	25734	22929	19548	22930	
231	22782	22670	21528	21805	
232	22494	25814	22559	23464	
233	20037	22011	22010	2920	
234	18573	19831	18571	25453	
235	23536	23535	1745	22793	
236	19080	20789	10464	25254	
237	12017	23896	12016	21305	
238	23350	15435	15436	24312	
239	3966	13043	13335	24219	
240	20724	24006	10015	2944	
241	1878	13416	12169	17927	
242	6919	19222	26160	19219	
243	21726	5911	16464	13325	
244	8662	24132	1331	21856	
245	21651	3454	19654	18070	
246	19733	21606	21936	19734	
247	1486	1485	1487	20687	
248	2095	16410	8478	19177	
249	19600	19601	308	3916	
250	24279	23578	8637	25928	
251	25992	5501	26046	4593	
252	24569	14394	12490	11918	
253	14703	4050	15068	25235	
254	24657	19145	9444	9594	
255	1839	1838	1840	20881	
256	11265	1140	13252	5196	
257	1848	13422	8101	18734	
258	6795	13530	19307	19063	
259	21713	24514	25894	20550	
260	25255	2354	9756	18544	
261	26288	25034	21158	25892	
262	20162	17036	19070	12974	
263	21941	21943	21942	21944	
264	23885	22938	23695	18717	
265	12507	18463	19212	21694	
266	21227	2649	22581	18912	
267	19643	11709	12655	22937	
268	22936	20254	9881	9134	
269	21061	19110	22026	21063	
270	13362	17631	15701	25417	
271	13637	1139	13636	25530	
272	11180	17207	17113	21399	
273	11390	2854	3423	21663	
274	23609	23237	21856	16740	
275	23968	11871	23096	22469	
276	23868	23594	25910	25084	
277	23425	23427	23426	19358	
278	19254	23168	17888	17887	
279	23916	23457	18630	19551	
280	19727	18106	21985	18104	
